[q_4_1]Value;[qs_4_1]Value;[q_4_2]Value;[qs_4_2]Value;[q_4_3]Value;[qs_4_3]Value;[q_4_4]Value;[qs_4_4]Value;[q_4_5]Value;[qs_4_5]Value;[q_9_1]Value;[qs_9_1]Value;[q_9_2]Value;[qs_9_2]Value;[q_9_3]Value;[qs_9_3]Value;[q_9_4]Value;[qs_9_4]Value;[q_9_5]Value;[qs_9_5]Value;[q_16_1]Value;[qs_16_1]Value;[q_16_2]Value;[qs_16_2]Value;[q_16_3]Value;[qs_16_3]Value;[q_16_4]Value;[qs_16_4]Value;[q_16_5]Value;[qs_16_5]Value;[q_4_1_t]Value;[qs_4_1_t]Value;[q_4_2_t]Value;[qs_4_2_t]Value;[q_4_3_t]Value;[qs_4_3_t]Value;[q_4_4_t]Value;[qs_4_4_t]Value;[q_4_5_t]Value;[qs_4_5_t]Value;[q_9_1_t]Value;[qs_9_1_t]Value;[q_9_2_t]Value;[qs_9_2_t]Value;[q_9_3_t]Value;[qs_9_3_t]Value;[q_9_4_t]Value;[qs_9_4_t]Value;[q_9_5_t]Value;[qs_9_5_t]Value;[q_16_1_t]Value;[qs_16_1_t]Value;[q_16_2_t]Value;[qs_16_2_t]Value;[q_16_3_t]Value;[qs_16_3_t]Value;[q_16_4_t]Value;[qs_16_4_t]Value;[q_16_5_t]Value;[qs_16_5_t]Value;[pilot tester]Value;[Age]Value;[Favorite color]Value;[Gender]Value;[Glasses/contact lenses]Value;[Interested in decorating]Value;[Other eye conditions]Value;RecordingName
1;2;1;1;4;4;4;3;2;5;4;3;7;4;7;3;7;4;2;4;13;5;12;4;4;4;6;4;6;4;3;2;3;3;4;5;1;3;3;3;None;None;4;3;2;3;4;4;2;4;None;None;1;3;11;4;7;4;3;1;NO;25-29;None;Male;No;Yes;No;Block_1_1_0001
2;5;1;5;2;3;2;5;3;5;2;1;2;5;5;5;2;5;4;5;8;3;14;5;15;5;12;5;5;5;2;5;2;3;3;5;1;5;2;4;9;None;4;5;7;1;5;5;2;5;8;4;14;4;7;5;6;2;10;1;NO;20-24;Blue;Female;Yes;Yes;No;Block_2_1_0002
4;4;4;3;2;2;2;4;3;4;6;3;6;4;2;3;5;3;7;2;8;3;14;4;12;4;9;3;10;2;4;4;1;3;4;2;4;2;3;4;6;3;1;3;7;3;4;2;1;3;8;2;14;3;9;3;10;2;5;2;NO;25-29;Red;Male;No;Yes;No;Block_1_2_0003
1;4;1;5;4;4;4;3;4;2;7;4;2;4;4;4;4;3;6;4;8;5;3;4;5;5;3;5;5;3;2;4;2;5;2;1;1;2;3;4;6;4;None;None;None;None;5;3;None;None;1;5;8;3;16;3;2;3;5;4;NO;25-29;Red;Female;No;Yes;No;Block_2_2_0004
4;3;4;3;4;5;4;5;3;5;6;4;2;5;7;2;2;4;3;3;8;4;1;4;7;4;16;5;1;3;2;3;2;4;4;5;4;4;2;5;6;3;2;3;4;4;4;4;2;4;10;3;7;4;9;4;16;5;9;3;NO;25-29;Blue;Female;No;Yes;No;Block_1_3_0005
3;1;4;3;3;4;2;4;3;4;3;3;7;2;8;5;5;3;7;4;1;5;14;5;13;4;2;1;2;2;1;4;3;4;2;4;3;3;3;4;None;None;9;5;1;4;7;2;7;5;None;None;9;4;None;2;2;4;2;3;NO;25-29;Green;Male;No;Yes;No;Block_2_3_0006
4;3;2;3;1;2;3;1;3;3;4;3;7;2;7;3;7;4;4;1;1;2;6;4;8;3;13;2;12;3;1;3;None;None;None;None;3;2;2;1;3;1;9;3;7;2;None;None;None;None;14;1;16;3;13;3;3;3;11;1;NO;30-34;Red;Female;Yes;Yes;No;Block_1_1_0007
1;4;4;3;4;4;1;4;2;2;6;4;9;3;5;5;2;4;9;4;14;4;1;4;8;5;13;4;6;5;None;None;1;None;4;5;1;3;2;3;6;4;5;3;7;3;8;3;1;4;None;None;6;3;12;5;3;5;11;3;NO;20-24;Grey;Male;No;Yes;No;Block_2_1_0008
4;5;4;5;4;4;4;1;4;5;7;4;4;3;9;5;3;2;2;4;8;1;14;3;9;3;9;4;9;2;4;5;4;5;4;3;1;4;3;4;3;4;1;4;8;5;5;4;2;2;None;None;12;4;None;None;4;5;8;2;NO;20-24;Blue;Female;No;Yes;Yes;Block_1_2_0009
3;5;1;3;1;2;2;4;2;4;8;5;3;4;6;5;7;4;4;4;12;4;14;5;3;4;4;4;8;3;4;5;4;3;1;1;4;4;3;3;8;2;7;5;7;4;1;5;3;2;12;4;14;3;3;5;1;3;6;4;NO;20-24;Red;Female;No;Yes;No;Block_2_2_0010
